"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 19:07:29 PKT 2024","Mon Mar 04 19:07:35 PKT 2024","5807","chromium","","Room Management Tests","","","User must NOT be able to create new room with price 0 @management @room-management",""
"passed","Mon Mar 04 19:46:48 PKT 2024","Mon Mar 04 19:46:54 PKT 2024","6244","webkit","","Purchase Flow Tests","","","Visitor must be able to contact the property by filling up all mandatory fields @sanity @contact",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","1","webkit","","Login Tests","","","Administrator is able to login with correct username and password @sanity @login",""
"passed","Mon Mar 04 19:07:04 PKT 2024","Mon Mar 04 19:07:13 PKT 2024","8834","chromium","","Room Management Tests","","","User must be able to create new Single room named 114 by filling up all mandatory fields @sanity @management @room-management",""
"passed","Mon Mar 04 19:46:41 PKT 2024","Mon Mar 04 19:46:50 PKT 2024","9572","firefox","","Purchase Flow Tests","","","Visitor must be able to contact the property by filling up all mandatory fields @sanity @contact",""
"passed","Mon Mar 04 19:07:28 PKT 2024","Mon Mar 04 19:07:34 PKT 2024","5935","chromium","","Room Management Tests","","","User must NOT be able to create new room without filling up room price field @management @room-management",""
"passed","Mon Mar 04 19:07:04 PKT 2024","Mon Mar 04 19:07:13 PKT 2024","9524","chromium","","Room Management Tests","","","User must be able to create new Twin room named 115 by filling up all mandatory fields @sanity @management @room-management",""
"failed","Mon Mar 04 19:21:38 PKT 2024","Mon Mar 04 19:21:45 PKT 2024","7834","chromium","","Login Tests","","","User is not able to login with empty password @login",""
"failed","Mon Mar 04 19:21:38 PKT 2024","Mon Mar 04 19:21:45 PKT 2024","7010","chromium","","Login Tests","","","User is not able to login with wrong password @login",""
"passed","Mon Mar 04 19:07:13 PKT 2024","Mon Mar 04 19:07:22 PKT 2024","8291","chromium","","Room Management Tests","","","User must be able to create new Family room named 117 by filling up all mandatory fields @sanity @management @room-management",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","1","firefox","","Login Tests","","","User is not able to login with wrong password @login",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","5","webkit","","Login Tests","","","User is not able to login with empty username @login",""
"failed","Mon Mar 04 20:18:53 PKT 2024","Mon Mar 04 20:18:53 PKT 2024","3","firefox","","Purchase Flow Tests","","","User purhcase a product",""
"passed","Mon Mar 04 19:07:22 PKT 2024","Mon Mar 04 19:07:29 PKT 2024","7431","chromium","","Room Management Tests","","","User must NOT be able to create new room without filling up room name field @management @room-management",""
"failed","Mon Mar 04 19:21:22 PKT 2024","Mon Mar 04 19:21:35 PKT 2024","13260","chromium","","Login Tests","","","Administrator is able to login with correct username and password @sanity @login",""
"passed","Mon Mar 04 19:07:20 PKT 2024","Mon Mar 04 19:07:28 PKT 2024","8006","chromium","","Room Management Tests","","","User must be able to create new Suite room named 118 by filling up all mandatory fields @sanity @management @room-management",""
"failed","Mon Mar 04 19:21:22 PKT 2024","Mon Mar 04 19:21:36 PKT 2024","13973","chromium","","Login Tests","","","User is not able to login with empty username @login",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","1","firefox","","Login Tests","","","Administrator is able to login with correct username and password @sanity @login",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","1","webkit","","Login Tests","","","User is not able to login with empty password @login",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","1","firefox","","Login Tests","","","User is not able to login with empty password @login",""
"passed","Mon Mar 04 20:53:14 PKT 2024","Mon Mar 04 20:53:54 PKT 2024","39704","chromium","","Purchase Flow Tests","","","User purhcase a product",""
"failed","Mon Mar 04 20:18:55 PKT 2024","Mon Mar 04 20:18:55 PKT 2024","4","webkit","","Purchase Flow Tests","","","User purhcase a product",""
"passed","Mon Mar 04 19:46:41 PKT 2024","Mon Mar 04 19:46:46 PKT 2024","5409","chromium","","Purchase Flow Tests","","","Visitor must be able to contact the property by filling up all mandatory fields @sanity @contact",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","0","webkit","","Login Tests","","","User is not able to login with wrong password @login",""
"passed","Mon Mar 04 19:07:13 PKT 2024","Mon Mar 04 19:07:20 PKT 2024","7896","chromium","","Room Management Tests","","","User must be able to create new Double room named 116 by filling up all mandatory fields @sanity @management @room-management",""
"skipped","Mon Mar 04 19:21:47 PKT 2024","Mon Mar 04 19:21:47 PKT 2024","1","firefox","","Login Tests","","","User is not able to login with empty username @login",""
